date,rating,review,reviewer,title,ymd
07-02-2022,5,Stayed here with my husband on my first visit to Mumbai. I must say this hotel is spectacular! The interior and exterior of the hotel was just beautiful and every corner has something interesting to look at. We enjoyed our breakfast every morning and our room view facing the pool. This hotel is near the airport as well so airport transfers were not a problem. I would definitely recommend staying here and will bring my family to stay here the next time I visit Mumbai.,jjjoana,Love this Hotel and Will be Back!,220207
03-02-2022,4,I travelled to this place on 24th Dec with family during one of the peakest season of last year. the property size is huge and it helped us to feel comfortable.They provide all the amenities including pool and bath tub.,harpritj1,One of the best trips ever!,220203
02-02-2022,5,I had booked the staycation for my husbands birthday. The check in was seamless I was also upgraded to the higher floor room. The Hospitality was amazing.Ms Pooja was polite and helpfulspecial thanks to her for making our day more special and being empathetic. The chef made special food for my two year old baby . Thank you so much to the whole staff for the great hospitality.Beautiful interior and yummy food made our staycation memorable.,Deepali B,Memorable birthday,220202
01-02-2022,5,Astonishing experience at ITC MARATHA,Arbaazmukadamma,Staycation,220201
27-01-2022,5,We had a short notice stay. Aman at the front desk was at his efficient best. He was most helpful and ensured that we were accommodated most comfortably. The ambience was as always wonderful. The restaurant staff were most friendly and Ms G. Khan looked after our requirements at the table in a very courteous manner.,Yash556,A most memorable stay in the heart of business areas,220127
25-01-2022,4,Our stay was the coolest royal staycation we have had in Mumbai .. ,annapurnas2022,ITC MARATHA  Mumbai,220125
22-01-2022,5,I visited at 31st October 2021 last year on my b'day celebrated in dum pukht with Vaibhav and his team Milind and Akshay the food was amazing service was excellent too i have less word to say and express it.,ShubhamSonone,Pleasant Time Spent In ITC Maratha,220122
20-01-2022,5,My lifes best experience is at itc maratha mumbai..,makemycelebration6,Pavilion peshwa,220120
19-01-2022,5,We stayed as a couple in of the junior suites. The room was very well furnished. All conveniences in the living area dressing area and the bathing area were top notch. The bed is plush high and very comfortable. It was a very relaxing stay and the Hotel is well worth the charge. Recommended.,amjadshamsi,A convenient Royal experience within the city,220119
19-01-2022,5,Thank you so much for all the exciting arrangements they were just amazing.,RandeepG,Excellent Utra Luxuries Stay,220119
09-01-2022,5,Staff provides great service - one of the best that weve experienced. Loved the variety in the food & drinks spread with a nice & cozy ambience at the upper crust. Excellent venue for business social as well as family visit. The overall experience at ITC & each of its outlets (dining shops spa etc)  is like visiting our luxury home.,SimplyTrippin,Relaxing time!,220109
07-01-2022,5,One of the best experiences of a hotel Ive had all thanks to Sushmita. She was really helpful on getting things done really quick from check in to check out to complimentary beverages etc. even at a busy hour. Thank you ITC Maratha and Sushmita for this lovely experience and Well sure to visit often for a relaxation experience in this pandemic times.,Peter N,Birthday,220107
07-01-2022,5,What an experience!!! Iv stayed in multiple star woods and marriott property's but ITC maratha just nailed it. It was my birthday on the 2nd and I checked in on the 1st of Jan 2022 and the front desk manager sushmita was so professional and courteous about everything. She made sure I got an upgrade and also sent a small cake at 12 midnight which made it even more special. A good hotel is only known for its amazing and hospitable staff with them the it's jus a regular porperty. Keep up the good work will definately be going back again. ,Road17796638824,What an experience!,220107
05-01-2022,5,As a frequent visitor of mumbai I have stayed in various hotels and properties throughout mumbai. This is my second stay in ITC Maratha and i can confidently say this is the best and most convenient places i have stayed.,alanlivingston77,Best stay in Mumbai,220105
04-01-2022,5,It has all the grandeur and Pomp of the Marathas but also their hospitality is beyond measure. ,Jdepenha,You can't sum up this place by just saying it's good so here's a short little write up!,220104
03-01-2022,5,We checked in during Christmas 2021 and even in the rush hour time the hospitality offered by Mr.Aman & his team was simply outstanding. We were quite overwhelmed by the warmth received. Id like to thank them for this wonderful staycation at ITC Maratha. We are surely visiting again without a doubt!,karana2022,The most Amazing stay !!,220103
01-01-2022,5,We had an amazing stay ! ,fihanbaig,Wonderfull staff and place ! ,220101
01-01-2022,3,Just wanted to caution the visitors about the different rooms the hotel offers. I had booked an executive room with a pool/garden view and was disappointed with the allocation especially as I had paid an extra amount for the view. None of the sites ITC Mariott Bonvoy app MMT etc provides a clear picture of the room and the view they have to offer. Overall a good hotel (4 out 5) but I'm personally disappointed about being tricked into a room with a boring view.,joygpinto,Disappointed with the view,220101
30-12-2021,5,I stayed at ITC maratha for 4 nights from the 15th to 19th of December.  This was my second stay at this hotel the service at this hotel never stops to amaze me in good ways. Miss Rashpal Padam attended to me at the lobby area while I was checking in she made sure that the process was really smooth and quick I must say that the staff at this hotel is very efficient. ,Simar B,Amazing Stay,211230
27-12-2021,5,We decided to do a very short staycation within Mumbai and couldnt have been better than on a Christmas day. Had booked at the ITC Maratha for an overnights stay and Luxury was at its best.,SPF_Travel,Luxury Stay!,211227
26-12-2021,5,Thanks to covid this was first time in a long time that my parents were not going to be around the kids. Being based in NZ coming from the same industry I knew a night stay will be perfect. The team at ITC went all out right from check-in spa treatments lunch dinner and breakfast- nothing went wrong. It's incredible to see how small little things go a long way to making up the experience. Noella as lovely as always went over and above to helping me and coordinating everything over the phone and managing with time difference. My parents kept mentioning about another amazing lady (I'm sorry I don't remember the name) who checked on them throughout their stay without fail.,Renunitin,Incredible,211226
22-12-2021,5,I finished a 2 day pleasure trip to Mumbai and chose to stay at this hotel. From the check in formalities to check out my experience was nothing short of excellent. While the hotel itself is a beautiful one well maintained and very presentable what stood out was the service. It was attentive and polite an absolute delight. Things were done quietly and efficiently and most of all without getting in the way. There was a wedding organized in the hotel during my stay and most of the guests were from that party but I did not feel for a single moment that I was not accorded the attention I needed. The restaurants the spa the bar all were a delight to be in. The food was excellent at both the Peshwa Pavilion and at Peshawari. This is truly a 5 star hotel and its service defines it. I would recommend this hotel to everyone.,PrashantC353,Service Excellence,211222
21-12-2021,5,Your team just doesn't stop to surprise me in pleasant ways. Personalized care is what I have distinctly experienced staying at ITC Maratha. I want to make a very special mention for Chandra at the front desk and duty manger Sushant Rane. They went the extra mile to help make the last stay the most memorable one. A very big thank you to both of them. People like them help make lifetime loyal guests for their Hotel.,MrAvinash,Always my 1st preference in Mumbai,211221
19-12-2021,5,My friend and I stayed at the ITC Maratha for two nights and had the most perfect and comfortable stay in Bombay. As we arrived at the hotel for check in the reception was busy but we didnt have to wait even a minute because Mr. Maxim from concierge approached us and provided a smooth check in process. Even though the hotel was sold out the night before we got our room way before the standard check in time.,travelwithsadia,Best Hospitality in Bombay,211219
17-12-2021,5,For best Hotel Experience one must visit and stay at ITC Maratha. I want to special mention Hotel Front office Manager AMAN who understand what HOSPITALITY really means he understood his guest very well and ensures always that each stay becomes a memory . ,pryanks2014,ITC Maratha Mumbai,211217
17-12-2021,5,We had a very good experience albeit a short one . Staff of ITC Maratha was exeptionaly good. All the details were cared for.My wife being a foreigner is quite fussy about the cleanliness but she didnt have any thing to complaint.Food was greatsumptuous and varied. Interiors of the hotel give u a feeling of being in a palace and the staff makes all the effort to make u feel like a royal.,harrys1947,A short but good experience.,211217
06-12-2021,5,Friendly and courteous staff,DRPMRi,Friendly and courteous staff,211206
02-12-2021,5,My husband fell ill on a business trip and was staying at ITC Maratha. Around 6 pm he called me to say he was very ill and unable to call any one. I immediately reached out to Mr Mattoo GM Jaipur. He reached out to mumbai and they took charge.  Abhay ( front office) arranged for my husband to go to the hospital. Maxim accompanied him and was with him till i reached around midnight. Abhay was constantly updating me about the progress and arranged a car to pick me from the airport. The driver Shetty was empathetic and since he had taken my husband to the hospital kept reassuring me that he was fine. What a fine set of people. What a commendable service standards. Thank you all. The hotel by itself is beautiful luxurious and very clean.,Tangytease,A hotel with a soul,211202
01-12-2021,1,I stayed at ITC Maratha with family and took an all meal plan. The food was really bland abd drab and everything tasted similar plus u cant dine anywhere else. And because of too many weddings at 1 venue it was always packed with wedding freebie guests.,Rahul M,Terrible experience at ITC Maratha dont waste ur money,211201
27-11-2021,5,Two names stand out at this property. Rashpal Padam - an extremely charming and adorable front desk manager who was very helpful in my entire stay. Upendar Tomar - F&B manager took meticulous care of micro managing my dietary requirements and ensuring the most exceptional food was catered to me at all times. All of this is only possible when you have a tremendously over zealous GM and ZUBIN SONGADWALA is a GM who truly rules the roost. Even though Zubin has moved to a different property his style of working reflects on the team that is extremely dedicated in their unrelenting pursuit to service customers.,pathushiru k,Convenient location from Mumbai airport.,211127
26-11-2021,5,Thank you team ITC it was a pleasure hosting our functions at your hotel. ,Ritu S,A sincere thanks to team ITC what a pleasure hosting the wedding at your venue.,211126
25-11-2021,5,THEY MADE OUR ANNIVERSARY SO SPECIAL! ❤️❤️,832deepakh,THEY MADE OUR ANNIVERSARY SO SPECIAL! ❤️❤️,211125
23-11-2021,5,I had the pleasure of two stays at this amazing hotel. The food is beyond compare at their many restaurants. The rooms are impeccable and the staff treat you with heart. I strongly recommend this hotel. I was cared for and I will always hold ITC Maratha in impeccable stead. Of the food I recommend the Mutton Seekh Kebab at Peshawari the Maratha meal at Peshwa Pavilion the biryanis at Dum Pukht and the Sichuan Prawns at Pan Asian. I enjoyed chatting with Solunke Balbir Sanjay Maxim Vijay Hitesh Gaushya Prakash Prathamesh Udit and the many others who make you feel special. Please spend your time at this hotel for a meal or a stay. Thank you to all at the Maratha!,ashmat398,A diamond!,211123
23-11-2021,5,Memorable stay at ITC Maratha ,rajitd2015,Memorable stay,211123
17-11-2021,5,Just love this property whenever I am here. Hospitality at its best. Special Thanks to Ms Shailo from Coffee Shop for finding the emerald ring which was forgotten at the breakfast table. Manager Hitesh as well who personally takes care of all guests at breakfast time irrepective of it being packed to the fullest. Thank you Ms Rashpal - The warmth and care I get at this Hotel is just outstanding.,darpan98,Outstanding as Usual,211117
16-11-2021,4,One of the old luxury hotels near Airport. Grand but showing its age around corners. Rooms are good size and well appointed. Bathrooms are renovated and better than Delhi ITC Murya. Restaurant are good typical ITC. Breakfast try to grab early or will surely face waiting if you are coming post 9am. Rather than the buffet try the set menu at Dum Phukt.,SUBIRGHOSH,The iconic ITC near Mumbai Airport,211116
09-11-2021,5,Had a wonderful stay of 2 days in ITC. Starting from Check in @ Sushmita she was amazing gave us a wonderful room after checking in sushmita gave us a courtesy call to make sure that we like the room. Also breakfast was very tasty. On departure also we asked for packed breakfast same was given. Keep doing the good work team. Proud to be a part of ITC during the whole journey.,NMP3597,Such A pleasent Stay,211109
09-11-2021,5,I would like to thank Vanessa and Prajakta for making our stay memorable right from check-in to checkout they made sure that everything went smoothly. Delzine from the front desk also gave us a call reassure if our stay went well. The warmth and the concern shown by the staff is really great. They have an awesome front office team.,Trip820502,Amazing stay at ITC Maratha,211109
04-11-2021,5,On this Divine Occasion of Diwali had sent a Hamper to my Friend on 1st of November. All the Products in the Hamper were just so Delectable  & Elegant. The Specially Crafted Diyas of Marble were looking just Amazing . ,IshanGanguly,"Most Magnificent Hampers from ""ITC Maratha""!!!",211104
03-11-2021,5,We always choose to stay at ITC Maratha whenever we visit Mumbai   . Duty Manager Rashpal is very helpful . She handles all our reservation queries and upgrades us to good rooms. The staff is very courteous and polite  .The food and beverage service is also top notch . The hotel is huge and very beautiful.  There is a garden area which is also very pretty for and has a calm outdoor feel  . Strongly recommend to stay at ITC..,Choooj,Great hotel and great staff!,211103
01-11-2021,5,It was a wonderful experience the staff at the reception are very courteous. I would like to name a few of them : Sayali Pratishthan Pranith. They all are very helpful. Pranith and Pratishtha helped me with an express check in. Sayali gave me a property tour and also explained above responsible luxury initiative example: Sunyaaqua Local Love Alert Meals Welcome Meal.  The entire staff is very well trained and the hotel is no doubt very beautiful. Shall visit soon. Kudos!!!!,874ishanc,Luxurious Hotel Worth Staying,211101
30-10-2021,5,I am having trouble framing the words for the impeccable stay I've had. Although just a one night stay its been a great pleasure staying here. Girivar Pratistha Tyson Mr. Udit from FO have been awesome in helping out with the complexities of the booking. It takes a lot to be able to work in such a rush and still be able to sustain the level of service standards that the entire staff perseveres. Food tastes with nothing to complain about.,the_uncopyrightable,A gem of a place!,211030
27-10-2021,5,It was an amazing experience to get served at one of the most authentic asian restaurant in the city. Chef Varun touched my heart by serving the most delicious courses. There is absolute no compromise in following Hygiene and Covid safety norms. Food & Beverage team was very professional to explain us briefly about each & every dish which was served on the table. I'm eagerly waiting to visit this place again!,Omii09,Lunch at Pan Asia with my Elder Brother,211027
26-10-2021,5,Id like to appreciate the lovely staff of ITC Maratha. My son and I went to ITC for lunch on my Birthday and my daughter planned a small surprise at their restaurant Peshwa Pavilion. The ITC staff made it very special. They surprised us with a lovely Birthday cake and flowers to wish Happy Birthday. ,Nilima_ES,The staff is amazing,211026
25-10-2021,5,The Best Hotel Service in Mumbai,soniasingh7,The Best Hotel Service in Mumbai,211025
23-10-2021,5,ITC Maratha is a great property  what makes this property great is the people who work here and work towards making your stay memorable. I would especially like to appreciate the two housekeeping boys Aaron and Shriram here who have been very consistent with their ability and desire to make the guest experience whole. It's truly a home away from home and would request management to praise these boys . Who are working hard to make every guest feel like they've stepped into the world of luxury . Kudos to the housekeeping team and their management.,Kapilnirgun,Amazing hospitality,211023
18-10-2021,5,Sincerely appreciate the efforts taken my Mr. Ruel and Mr. Varun to a serve a delicious meal and Peshwa pavilion and provide their services.,kashish_r1998,Staycation,211018
17-10-2021,4,Good luxurious rooms. Good food and ambiance .  The feel of the hotel is very royal. We had to stand in queues and wait for breakfast that was one issue and getting your plates cleared from table is another issue .  ,neelima007,Good luxurious hotel,211017
11-10-2021,5,Great location really pleasant and clean rooms but the thing that makes this such a good place to stay are the staff. You may forget the colour of the wall or the size of the bed but you will never forget how the place made you feel.,sharonfernandes21,One of the best properties,211011
09-10-2021,5,I visited ITC Maratha hotel with family and stayed for 15 days there. The hotel has beautiful ambience. Clean and calm atmosphere. ,nidhibak,Awesome stay with.... ITC Maratha,211009
09-10-2021,5,First of all thanks to Shashank Ayush Harshal front office team for looking at me from check in till check out.,ShubhamSonone,An excellent service given by whole team,211009
02-10-2021,4,Cons: Takes hours to get the room. Their answer that hotel was sold out. Girls very sulky and cannot take criticism from a customer driving 4 hrs and wants a room. Asked to see supervisor no luck.,sahibbibi,Excellent fooood,211002
01-10-2021,4,Hotel that carries a high reputation but is struggling to maintain or even meet this reputation!,ShankarG_12,Hotel that carries a high reputation but is struggling to maintain or even meet this reputation!,211001
26-09-2021,3,I expected a lot from a luxury collection hotel. It was my first ITC stay experience and I am not so happy  the room and restaurants are great as far as aesthetic is concerned.  But the service is too too slow. We had to wait for half and hour or may be more to get a dental kit after calling housekeeping for at least 4 to 5 times. Even the buffet breakfast had super slow service. Had to remind multiple times to get one thing. Either is staff was scarce or if not they was inefficient or ignorant. The savior was Dum Pukht restaurant that served Awadhi cuisine and biryani was very nice and staff was also courteous. ,pujaras,Average! Expected more,210926
25-09-2021,5,From the moment we walked in the entrance to the room we were thoroughly impressed. The interior decor was upscale yet warm and inviting and the personnel we encountered were all very pleasant and accommodating. I want you to know how much I appreciate the excellent service you and your team provided on My husbands birthday. Your attention to detail great communication skills and ready smile made the experience beyond the expectation. We especially enjoyed the special bar drinks. Special thanks to Rashpal and her team for making all the amazing arrangements for us. We thoroughly enjoyed it and appreciate all the work the hotel put into our visit.,466nupurs,Amazing stay and service was very good,210925
21-09-2021,1,Itc maratha is the worst hotel anyone can ever opt for their stay. The room corridor all-of them smell of seepage . It is so bad that a smell allegric person cant stay even for a min. We changed two rooms but no improvement .,Ragima6,The worst hotel,210921
21-09-2021,5,Great ambience.One of the most awesome hotels Ive ever stayed in.The staff was kind enough to ask us about our feedback again and again.,26kashishg,Best stay!,210921
18-09-2021,1,Yes its a luxury hotel. However the luxury is limited to the staff and not the customers. Be prepared to wait for everything that you order. Be it food or your car. I have order tea which turned out to be cold several times. You have to ask for toiletries and essential things. The breakfast spread is limited to at the most 10 items. I have been staying in the hotel for 3 days and it's a biggest mistake. Thank you and no more. I suggest not to waste you time and book an oyo instead.,PeeKayyy,Disappointed,210918
18-09-2021,4,ITC has been a brand i. Been using for the last 8 years and I love everything about this brand as it makes me happy. So it's so important to make sure that you have good people who make guest stay memorable. As memories is what makes us come back again and again.,rishf2017,ITC is all about creating memories,210918
17-09-2021,5,Our stay at ITC Maratha felt like a trip to a royal palace in ancient India. The room had a gorgeous view overlooking the courtyard. The breakfast buffets in-room dining and dinner at Peshawari were of extremely high quality. The hotel was a beautiful place to stay at and the staff was tremendously kind.,thebanerjeefamily,A Royal Staycation!,210917
13-09-2021,5,I was not a guest at this hotel. But my partner was staying there and I wanted to send them some flowers. I was unsure how to make this happen considering I wasn't even in the city.,954veek,Excellent concierge service,210913
09-09-2021,5,Very Friendly Staff Excellent Food Clean Rooms Hygiene at its best etc made our stay very memorable. Special thanks to h ostess Pooja who was very helpful during the checkin process.  I would also like to mention the Restaurant Manager Shiv Shankar who was excellent during the breakfast. The team of Allwyn Vinay Manish in the buffet dining area did a splendid job during the lunch and dinners. They all are assets to the ITC Maratha Team and many thanks to all the staff for making our stay a memorable one.,osdenm2,Family Outing,210909
07-09-2021,5,We were here for a staycation and we were really impressed from entrance itself with the welcome staff who greeted Us with full enthusiasm. ,Neha_ailani,A perfect blend of Luxury and good services!!,210907
06-09-2021,5,The place is amazing with great aminities. The staff speciall Delzine V. provided us with the best of services and help us make the stay a very good memory and made it special. Kudos to ITC HOTEL. Would recommend it to all.,DeepanshuR21,Perfect place to stay for couples,210906
06-09-2021,5,A very courteous and humble staff ..pleasent stay and very luxurious rooms..,Viqar0608,Fantastic Experience ITC Maratha,210906
04-09-2021,5,It was an amazing experience at ITC Maratha. On the occasion of my wife's birthday we booked a staycation at the ITC Maratha hotel .it was a first-time experience with ITC Maratha. special thanks to the Rashpal duty manager for the reservation & for providing a pool view on the top floor. my son was very happy to see the pool view. My wife was surprised with cake and balloons in the room. the stay was very comfortable. The staff was very hospitable and polite. ,TateshB,Best Staycation ever..,210904
30-08-2021,5,Had an amazing experience at ITC Maratha The staff was very hospitable and polite. Specially Aman Tiwari Sanjay Singh & Maxim for handling our entire experience. The property itself is very beautiful and all protocols of sanitisation and social distancing were properly followed. Thank You so much Looking for a staycation soon again.,KhalidAnsari,Amazing Staycation,210830
30-08-2021,5,Special thanks to Pratik at the concierge for giving us an upgrade as he promptly learnt of my wifes birthday during the stay. Ritu also kept checking on us if we required anything  we really felt nice about it. The Buffet was good ambiance felt nice and the stay was very comfortable. Kudos to the entire team for their good service.,shahbaz7shaikh,Great place Good Food Courteous Staff and Nice amenities,210830
29-08-2021,5,"Right from the time we came in to the hotel we were greeted and guided with various logistics by the exceptional staff of ITC Maratha which includes the bellroom staff (Mr. Ajay) staff at Reception (Mr. Tyson Mr. Arpit Mr. Chandradeep Miss Gurjit). All the staff was very cordial polite and efficient with their work ethics and checkin/checkout with tons of luggage and 2 kids was like a breeze. We were even allowed to drop our luggage on the previous day thanks to Mr. Ajay from bellroom concierge team which was extremely convenient for us as a family. The buffet dinner and buffet breakfast at the Peshwa Pavilion was outstanding and we loved the theme of this hotel ""Responsible Luxury"". This is important during these difficult times of the pandemic. Of course goes without saying the hotel ensured all measures of sanitization of our luggage bags our room and the dining areas. It was overall an experience to remember and cherish for ages !!!  ",Mehul W,An experience to remember at ITC Maratha !!,210829
29-08-2021,5,The rooms are so spacious. More than required space on rooms. Supremely decorated. Special mention about the washrooms in the rooms huge and clean. ,813ank,Spacious Rooms.,210829
29-08-2021,5,Miss Sushmita loke was very welcoming. ,tourtravel452166,Miss Sushmita loke one of the best hotel staff I ever came across.,210829
27-08-2021,5,There are may hotels near international AirPort. This hotel seems to be best. Good food good staff everything went fine for us. I have one regret though. Despite being a Gold member of Marriott Envoy and also despite my repeated request they did not upgrade us to a suite. Vacant suites were available. They kept on promising that they will revert as and when a suit is available but once you check-in they completely forget. Also they don't give a damn to Marriott membership.,DineshBhasin,A very good property near International Airport.,210827
26-08-2021,5,This is one place I would advice from all the hotels I have stayed in Mumbaiabsolute pleasure they take pride in taking care of you.,RenuW17,Very comfortableexcellent location for travelersfantastic staffdelicious choice of food,210826
24-08-2021,5,I always prefer staying there because of the ambience connectivity and most of my clients prefer that place for meeting me the service levels are top of the class you actually feel at home with them. They actually pamper you with there warm hospitality. Thank you team for taking such good care and there has been no compromise on there standard even when covid came for the first and second time they maintain there hygiene standard at there best nor to forget the food variety is endless you can ask chef anything of your choice to be prepared and they feel delighted to serve you with all there heart.,rahulchawla1975,Always stayed with ITC maratha only,210824
24-08-2021,5,The hotels architecture was amazing with luxurious rooms. It was organised well and sanitised. The employees were warm and always ready to assist especially mahima she helped me with my quick check in. She was very polite and I really felt the hospitality of the hotel. The highlight of my stay was the room upgrade. Kudos to the entire team and I look forward to seeing you soon.,Asgth,Excellent experience,210824
23-08-2021,5,After a long international flight I stayed for two nights at the ITC Maratha - my first experience at this lovely property which is just a stones throw from the international airport  The stay was nothing short of restful and memorable. Chef Nikhil specially made the most delicious  poha after I told him that I was languishing  for a hot Indian breakfast. The paneer kathi roll later that afternoon was the best I had ever tasted. Edwin Debnath from F&B was ever attentive and just a shout away. The ITC One pool-facing room was beautiful and spacious with a sprawling dress area and a gorgeous bathroom. The staffs attentiveness was impeccable and I was most touched to have a packed breakfast waiting for me at checkout! All in all it was a fantastic stay that went by too quickly. I wish I had transited for a few more days!,lata0903,Luxurious transit stop,210823
22-08-2021,5,We had come for family get together..  We had a very good time here.. Mr. Ramakrishna was very polite helpful and his hospitality was too good. Had a very good time here and looking forward to come here more frequently. My husband is a regular customer of ITC and we are also going to join his more often. ,subrotp,It was a memorable time and looking forward to see for a great collaboration. They maintain all the covid protocols according to,210822
21-08-2021,4,Property : Its a good property offering value for money.,Global48733197098,A pleasant stay which could have been fantastic….,210821
21-08-2021,4,One of my most loved property and most loved brand across India ,CK_0003,Elegance at the best,210821
20-08-2021,5,My wife and I had an amazing stay at the ITC Maratha albeit just for 8 hours due to our own logistical reasons. ,neshahh,Surprise treats made this visit more special ,210820
17-08-2021,5,The finest hotel in Mumbai where you can spend your valuable time with your friends and family. Breakfast provided here was really mouth watering and good at taste. Hence would suggest you all to visit the hotel and enjoy the best service of all time,satamarchit1998,Review itc maratha,210817
17-08-2021,5,Visited this luxurious hotel twice in 2021 (May and July) when staycation seemed the only possible option for a timeout with family and friends. From carpet to room interior lavish bathrooms with bathtub and fancy room decor... ITC was amongst the best hotel options to stay in Mumbai. The staff was very humble and polite and we were happy to notice covid safety measures being taken seriously starting from body temperature checking during check in to social distancing in dining area. Highly recommended if luxury is what you seek for a peaceful stayover in a 5- star hotel.,IteeBawaSawant,Memorable luxurious staycation at ITC maratha.,210817
17-08-2021,5,Staying in Mumbai ITC MARATHA is almost like our second home. ,rodegautam,Pleasant stay,210817
16-08-2021,4,It was overall a great stay Good food Good hygiene followed Friendly staff Good room service. Especially Hitesh from FNB and Yogesh from Housekeeping was of great help they made our stay smooth. It was our first stay with ITC but it was worth it.,justinrozario1,Great stay,210816
15-08-2021,2,Average stay. Could have been better,daryl m,Average stay. Could have been better,210815
12-08-2021,5,I planned a small celebration exclusively for my fiance at ITC Maratha. Genuinely loved the hospitality and the arrangements done by the ITC team lead by Kapil and supported by 3 colleagues (Allwyn Satya and Ruel). ,tulsyankit,Special Birthday Celebrations,210812
11-08-2021,5, I had a wonderful experience at the ITC Maratha. Every staff member I encountered from the valet to the check- in to the housekeeping staff were delightful and eager to help! A true example of contact less service were the foot pressed elevator buttons and the shadow sensitive buttons inside the elevator. Front desk staff is extremely efficient welcoming and helpful. Especially Aman from the front desk was always a step ahead ensuring our stay was pleasant from arrival to departure. Would be a pleasure to be back at the property!,as_if_travels,Delightful stay!,210811
09-08-2021,5,Perfect ITC hospitality. Starting from checkin Room service breakfast till check out. Everything spot on as expected from ITC. Even during these difficult Pandemic times the way ITC has maintained their High Standards is truly amazing.,Saurabh J,Fabulous ITC Hospitality,210809
09-08-2021,5,At itc maratha  the services at pesha pavilion where breakfast and buffet lunch and dinner is served is impeccable.  Best coffee made and served by Akshay Jadhav  his latte is legendary and made the morning beautiful. Thanks Akshay for the awesomeness of your coffee.,khwabonkis,Awesome amazing breakfast and dinner,210809
07-08-2021,5,It was a quick vacay for us....the staff rooms and food was amazing.,karii1994,Vacay,210807
05-08-2021,5,Amazing experience because of such an amazing team. Was not able to dine though but the room was amazing. I don't remember anyone's name but everyone who assisted me were exceptionally good right from the doorman to the gentleman at the reception and room attendants. ,Rajat M,Amazing!!!,210805
02-08-2021,4,This hotel is beautifully built and very tastefully decorated. Design sense and care has gone into every inch of the place with me marveling at certain pieces of furniture and decor at nearly every step in common spaces and in our rooms. The architecture of the interior is astoundingly beautiful. We loved that rooms provide complimentary filtered water in glass bottles to cut down on Indias ubiquitous plastic waste. We also loved Peshawri restaurant which provided some of the best (and most plentiful) food weve had in ages. The front desk concierge and bell staff was fantastic including Mr. Lalit and Ms. Rashi. And finally the hotel provided traveling guests with an on-site COVID-19 testing service at a reasonable price. Its a great place and we will be coming back. ,npd1234,Fantastic hotel near BOM airport,210802
01-08-2021,5,When royalty meets luxury they call it ITC maratha.,jaygandhii,Elite experience,210801
01-08-2021,5,I stayed here for a long duration and I would like to special mention the staff. ,yafael,Great experience despite limited staff!,210801
31-07-2021,5,Amazing stay at itc maratha. The hotel is very huge  has a beaut porch and garden . The pool was shut due to the pandemic . The breakfast spread was nice  food from room service was also very good  lovely service . Hotel has a great vibe and team is positive . The staff is always there to help you . The security is top notch  they scan every bag and also sanitise it. In the elevator  there is sticks to press the buttons  everyone in the team wears masks and gloves .  We were assisted by Ms Rashpal at the front desk . She told us about the hotel services and timings and had us ushered to our room which was a beautiful gesture. The team really is caring  we will surely visit again and will recommend it to our friends as well . Must try hotel for sure in Mumbai ! Thank you ITC .. kudos to the team.,Kamalpatelmum,Great experience must try!,210731
31-07-2021,5,Best hotel to stay in mumbai airport . Closer to airport and very convenient for travellers on the go . The staff is very courteous and helpful . We met Ms Rashpal  Padam at the reception who assisted us with the checkin . She also arranged to send some fruits and coconut water for us as we were travelling from a long distance . Covid times also  the staff is trained so well  everyone wears gloves and masks  it feels really very safe. The hotel room was very comfortable . Housekeeping staff is helpful and ready to help . It was busy for breakfast but the staff was smiling and attentive to all .  Would definitely visit again and will recommend to my friends as well.,Shivam21Patel,Wonderful experience !!,210731
31-07-2021,5,Right from the moment we entered till the time we checked out we were greeted and served with a smile. Special shoutout to Rashi for taking great care of us and making the beginning of our stay extra special via the personalised surprise that was waiting for us in our suite. Great food and good vibes - we ordered in and chilled at the bar. Overall a beautiful property  - were definitely coming back soon.,Paramhans,Warm hospitality with a personal touch,210731
31-07-2021,5,In the age of fast service 5 stars and careless service there are still a few gems that are keeping the ethos of hospitality alive. The exquisitely made hotel sits comfortably close to the airport. The grandeur of the hotel is profoundly enhanced by such courteous and warm welcome by the team. ,Sherryoscope,The luxury of excellent service!,210731
30-07-2021,5,"My recent Stay at ITC Maratha was nothing less than a fairly tale experience. Rooms are quite spacious and breakfast utterly delicious. It was a surprise staycation for my boyfriend he says "" He had never experienced such wonderful hospitality anywhere like ITC"". Well amidst all the beautiful moments that were captured during our stay we were lucky to meet Dhan. He is a man never to be forgotten his kindness and charm made us feel home away from home. He briefed us about the facilities available in the property and also suggested us for a walk around the garden. We absolutely loved it. ",Azeno123,Dhan Prosad - Housekeeping 5 star service.,210730
30-07-2021,5,Had come here for a business meeting and was overwhelmed with the service and staff attitude towards making everything seem perfect. ,guruchaya,Best hotel in the vicinity of the airport providing exceptional services,210730
29-07-2021,5,This hotel really feels like home . I have stayed here so many times  the staff is very efficient  always smiling and ever ready to assist. Rashpal has been our one point contact for reservations. So it becomes very easy to coordinate and book for the family and have also booked for my colleagues not only at ITC Maratha but also at other ITC hotels because of the care and lovely services that such a team offers.The entire front office team is very helpful  food and beverage team as well. Kamar  raunak etc all are great . My kids just want to stay here they have made friend with the guest relations team . The hotel is very beautiful and during this COVID times as well  is hygienically maintained.  I strongly recommend this hotel to everyone. Keep up the good work !,SukantDole2021,Best hotel,210729
